number;name;x;y;val;
74;2;-1.089451e-16;-1.815395e-16;-3.819580e-15;
75;0;-8.043298e-89;1.850408e-89;-1.531059e-87;
75;1;-2.912294e-89;9.115421e-90;-5.648963e-88;
75;2;4.860370e-89;-1.048997e-89;8.842464e-88;
76;0;1.238009e-102;7.121388e-103;2.734745e-101;
76;1;-1.740300e-102;-1.005377e-102;-3.763612e-101;
76;2;-9.355334e-103;-4.840307e-103;-2.057058e-101;
77;0;-1.104639e-03;-3.343366e-04;-3.137737e-02;
77;1;-6.659683e-04;-1.108846e-04;-5.107649e-02;
77;2;-7.024510e-04;-8.211808e-05;-5.193818e-02;
78;0;-3.494558e-47;-6.309303e-46;1.376861e-44;
78;1;-1.623931e-48;4.706440e-46;-8.731638e-45;
78;2;1.156119e-47;-6.314083e-46;1.273264e-44;
79;0;-3.257721e-09;1.852012e-09;-6.345325e-08;
79;1;7.864013e-09;-8.749207e-09;3.341759e-07;
79;2;1.102838e-08;-5.812322e-09;2.647389e-07;
80;0;-1.433168e-04;-8.320155e-05;3.446271e-03;
80;1;6.663008e-04;1.907128e-04;-1.462442e-02;
80;2;5.898389e-04;2.595941e-04;-1.322125e-02;
81;0;1.891940e-105;1.726957e-105;-2.178661e-103;
81;1;-2.266166e-104;1.448713e-105;9.678848e-103;
81;2;3.677440e-105;-7.555523e-105;-2.220534e-103;
82;0;-6.062453e-64;3.947489e-64;-5.156389e-63;
82;1;2.749087e-63;-2.770125e-63;8.438490e-62;
82;2;-4.835388e-63;6.922565e-63;-1.963168e-61;
83;0;-5.241784e-27;1.371826e-26;4.306389e-25;
83;1;-5.578358e-27;-2.368457e-26;-3.997589e-25;
83;2;-3.307473e-26;1.622654e-26;6.982904e-25;
84;0;7.834770e-06;1.234091e-05;1.777208e-04;
84;1;1.703972e-05;2.389420e-05;3.269326e-04;
84;2;1.647093e-05;9.880382e-06;2.038390e-04;
85;0;-3.253127e-68;-2.074009e-68;9.673454e-67;
85;1;-1.522322e-67;-1.010390e-66;1.804061e-65;
85;2;8.830432e-68;9.249077e-67;-1.727544e-65;
86;0;-1.351809e-06;8.311920e-07;-2.327545e-05;
86;1;-4.864050e-07;4.748223e-07;-6.991010e-06;
86;2;-1.307381e-06;7.097592e-07;-2.139324e-05;
87;0;-8.437518e-52;7.603524e-51;2.120730e-49;
87;1;2.057356e-50;3.161481e-50;-2.790894e-48;
87;2;2.266408e-50;-3.892560e-50;1.987536e-48;
88;0;1.489742e-12;-8.676287e-13;-2.127982e-11;
88;1;9.018805e-13;1.015899e-13;-9.148905e-12;
88;2;-1.317322e-13;5.495930e-13;9.417619e-12;
89;0;-5.845873e-53;-2.129883e-53;1.575167e-51;
89;1;3.570763e-52;7.735648e-52;-1.605451e-50;
89;2;-1.029064e-52;-1.628002e-52;4.130083e-51;
90;0;3.560987e-31;2.816642e-31;5.607079e-30;
90;1;-9.925808e-31;-1.625129e-30;-3.077065e-29;
90;2;4.479466e-31;3.623276e-31;7.544192e-30;
91;0;1.267810e-06;-2.463594e-07;-3.219744e-05;
91;1;3.043899e-06;4.104007e-07;-7.433366e-05;
